	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Mos	12.4181837586155	-6.66051017281689	2.97491340225918	-2.23889211960214	0.0251629363604562	0.110497445142845
Lsmem1	11.6022546108389	-6.56215995552141	2.93141330894283	-2.23856524615697	0.0251842176590258	0.110539630503912
Nalcn	72.8499910470862	2.47091975279839	1.1041908649292	2.23776507420828	0.0252363791109195	0.110739237078777
Arhgap26	822.735482186727	0.668121438135385	0.298838020431238	2.2357310397494	0.025369394512135	0.111293437524766
Mrps24	1881.50299879795	0.439376783844623	0.196544574260926	2.23550706244031	0.025384078492566	0.111328371784315
Col4a4	305.739717352758	1.67429769687655	0.749185503143611	2.23482393859883	0.0254289096098575	0.111438524397072
Gper1	67.6443007396984	2.09769651055315	0.938643598465869	2.23481682928606	0.0254293765300896	0.111438524397072
Cers5	1443.59715155901	0.484018955727826	0.216577549612295	2.23485285799147	0.0254270103396522	0.111438524397072
Gm19522	49.752228132484	3.07975614936571	1.3782493928491	2.23454199606015	0.0254474325128313	0.111488156459945
Dhx37	1699.81714484524	-0.511292910981686	0.228878940970668	-2.23390106933084	0.0254895831976134	0.111613784210538
Ankrd55	30.4492612816727	3.14359983416111	1.40721305916205	2.23391888932087	0.0254884104462137	0.111613784210538
Polr2i	357.589642895487	0.951706576948108	0.426108347638221	2.23348493927215	0.0255169824111489	0.111674719588027
Grin2d	228.076027406856	1.27599327047684	0.571300835429623	2.2334874926575	0.0255168142111647	0.111674719588027
Atp1b4	15.178890549566	7.80436899689972	3.4963403387591	2.23215369235754	0.0256048067969694	0.111970333841552
Cyb5d1	454.201601785864	-1.171878975014	0.524990592188492	-2.23219042864914	0.0256023797440468	0.111970333841552
Cyp2c70	15.178890549566	7.80436899689972	3.4963403387591	2.23215369235754	0.0256048067969694	0.111970333841552
Gnpat	2717.8166477063	-0.361265535473669	0.161862964687022	-2.23192214582386	0.0256201089399528	0.112007681338168
C1galt1c1	238.564773238916	1.23244450769321	0.552230236992028	2.2317584680011	0.0256309306366713	0.11202542638429
B4galnt4	1625.96519408567	-0.928643053134435	0.416136691908769	-2.23158176433532	0.0256426179862438	0.11204694459038
Dnajc2	3347.2309763008	-0.328334503928374	0.147163775759755	-2.23108235863954	0.0256756740852299	0.112111380610475
Tgfbi	7676.45672131761	-0.293831226243298	0.131697529080311	-2.23110659930541	0.0256740687236877	0.112111380610475
Bop1	1672.02840268998	-0.544485808751919	0.244048883114764	-2.23105224577436	0.0256776684597731	0.112111380610475
Larp7	2904.13868942322	-0.443885528124437	0.198980431210165	-2.23079991044748	0.0256943858906488	0.112154809559578
Mras	714.500108731431	0.898607146966658	0.402961545220385	2.23000719950882	0.0257469649211921	0.11235470861948
Ocrl	1917.14053759537	0.509480791811275	0.228508878001315	2.22958861059369	0.0257747666625222	0.11239457304123
Fzd9	19.8725222137963	-4.7213720569282	2.11762199049012	-2.22956319783752	0.0257764553566937	0.11239457304123
Gm16157	40.4110646291947	4.5418370070676	2.03707023389434	2.22959274132871	0.0257744921815346	0.11239457304123
Slfn5	362.795952263104	1.06206685836227	0.476581059943975	2.22851251891361	0.0258463574622546	0.112669713516381
Dck	1142.18129788698	-0.536033505657212	0.240579644975695	-2.22809168128653	0.0258744019087752	0.112762290875786
Stxbp5l	207.688112712292	1.17607156413484	0.527936931948267	2.22767435457629	0.025902238369497	0.112853913358947
Tcap	11.79610681422	-6.58583295024567	2.95655066829268	-2.22753934876712	0.025911249047474	0.112863486844966
Urgcp	885.305500090929	0.81938312212363	0.367968167973627	2.22677718737442	0.0259621687586929	0.113055553493099
Slc6a15	183.783498903041	1.8219912043364	0.818423945828924	2.22621932510911	0.0259994941397184	0.113188336511021
Htr2c	22.5021992055863	3.8360870511022	1.72350336585242	2.22574967192183	0.0260309535990884	0.113291349113669
Lypla1	1137.56415631513	-0.697900662954161	0.313584769188129	-2.22555663261652	0.0260438937700264	0.113291349113669
Herc4	1689.33023445362	-0.428857826379603	0.192688567096716	-2.22565268319394	0.0260374544335505	0.113291349113669
Nop9	1244.37178613488	-0.541757387964182	0.243436365735689	-2.22545791926748	0.0260505130560801	0.113291349113669
Jakmip3	14.8469968000141	-5.48313564370531	2.46397714391591	-2.22531919877762	0.0260598175041745	0.11330206744269
Tbc1d4	1434.68213547125	-0.495454646518234	0.222657145005185	-2.22519087140319	0.026068427409099	0.113309761225853
Rpl17	11924.8498666837	0.192116042889464	0.0863560487048184	2.22469700467831	0.0261015854953787	0.113424124798255
Irx5	91.9029532540072	-2.17826950077579	0.979316426831422	-2.22427546510537	0.026129916388274	0.113517457375232
Bdh2	259.214723173134	1.48923697901048	0.669641369730373	2.22393216179297	0.0261530088014429	0.113587989196618
Tchh	627.372534245561	1.26933679075075	0.57097487787333	2.22310444809509	0.0262087577891703	0.113770459323272
Amotl1	7351.85419119216	-0.238913911830803	0.10746712943992	-2.22313476758834	0.0262067138700561	0.113770459323272
Kcnq5	78.7154451143215	-2.25949846881284	1.01692370803984	-2.22189575378089	0.0262903514452335	0.114077397313248
Cdcp3	11.4723243008985	-6.54584303603893	2.94611881195233	-2.22185303915192	0.0262932389340163	0.114077397313248
Mrps25	871.667557391555	-0.59933645002153	0.269788549870146	-2.22150439783305	0.0263168171717643	0.114121646728566
Gata6os	46.90877374262	2.84663392782412	1.28140259050466	2.22149849619315	0.0263172164505355	0.114121646728566
Sap30	1220.45952771388	-0.536733308327283	0.241646991448895	-2.22114624771066	0.0263410575025738	0.114195136752195
Vps16	1752.16514432063	-0.416534100893494	0.187681332905282	-2.21936883357338	0.026461642182778	0.114687886645138
Ddah2	3753.79964906187	-0.297732189838288	0.134191117096504	-2.21871757445891	0.0265059446307451	0.114849849021264
Umps	2016.00706176051	-0.409705981033167	0.184675270097687	-2.21852108740085	0.0265193234038289	0.114877769922706
Rims3	139.65988772514	1.49925405780547	0.676062398895777	2.21762674607289	0.0265802926959066	0.115111777387632
Als2cl	472.31759535692	0.858932392883394	0.387380298415448	2.2172846590206	0.0266036455454695	0.11518279886584
Myl6	5525.25179377948	0.338396000366888	0.152638236684568	2.21698053985119	0.0266244213654577	0.115212523489761
Pnp	780.730412170764	-0.661791641406901	0.298508412221471	-2.21699494658094	0.0266234368574414	0.115212523489761
Kdm4a	6486.16884939471	0.302280151010499	0.136355826406909	2.21684807298548	0.026633475184599	0.115221602620236
Slc4a3	2376.40004757181	0.367008525607919	0.165572634583964	2.21660135160684	0.026650345137598	0.115264482298776
Cxcr3	46.1007212062425	4.70702566715606	2.12364608992194	2.21648309927624	0.0266584340935393	0.115269371119676
Mmp19	94.2532858084827	2.24078858437713	1.01112532071713	2.21613338966517	0.0266823681087458	0.115342752536893
Lyl1	226.425451363135	1.15197609188552	0.51998486157225	2.2154031338573	0.0267324064298423	0.115528910125317
Gpn1	1481.48613992823	-0.455230069062421	0.205529676894208	-2.21491161734634	0.0267661315552077	0.115644488579034
2810408I11Rik	53.8742151144694	-3.45951469700342	1.56258800254738	-2.21396471198013	0.0268312065101671	0.115895420036745
Dhx35	1007.43627104054	-0.557019530920892	0.251625580665168	-2.21368403581392	0.0268505218782402	0.115948617026342
Sostdc1	276.349485493083	1.15560425413661	0.522268527990774	2.21266301184633	0.0269208872726692	0.116222178178724
Fam131c	69.1783845042053	2.66591320103235	1.20498550222459	2.21240271863077	0.0269388512153814	0.116269429490045
Pkp3	34.3316593470142	-3.85075741890902	1.74072402518035	-2.21215848302551	0.0269557163640448	0.116311914970149
Tesk1	2241.53928354779	-0.47221877774193	0.213534527683728	-2.21143991496001	0.0270053883601954	0.116495900569437
Plekhf2	1171.16201035756	0.543409226662746	0.245783600367568	2.21092548831607	0.0270409973165057	0.116607097369307
Pdia2	11.8445698650653	-6.5916974245124	2.98150266083862	-2.21086417634064	0.0270452440744267	0.116607097369307
Atg9a	1509.21492924685	0.524735923399606	0.237366213538725	2.21065970416215	0.027059410948047	0.116607477199375
Mir6907	23.148514093399	5.36701784070362	2.42777146991437	2.21067670792462	0.0270582325966617	0.116607477199375
Ppox	924.029799700902	0.61250793136175	0.277091355836275	2.21049093903767	0.0270711086800599	0.116619674707335
Cdc34	2046.1742231525	-0.388149847787403	0.175600380944328	-2.21041575023952	0.0270763216978214	0.116619674707335
Mzt1	1286.37402603311	-0.561119607153533	0.253872206996446	-2.2102443343134	0.027088209610278	0.116640549049715
Casc1	43.8860756147909	2.49055977886065	1.12712031702267	2.20966629848315	0.0271283303462822	0.11678295015233
Naa25	2004.34755385609	-0.386650442311704	0.174991966841064	-2.20953252478657	0.0271376227142169	0.116792600743311
Gm4969	60.032310314699	-2.35196686889052	1.06485696498282	-2.20871623723516	0.0271943843217808	0.11700648734813
Ascc2	1269.07266604681	-0.718679790675822	0.325405797779727	-2.2085647999496	0.027204925968472	0.11702144862834
Aars	4750.80527714227	-0.254895151284935	0.1154208814211	-2.20839719941991	0.0272165968599897	0.117041258303668
Car5b	87.8967872331813	2.04937915694223	0.928049541252718	2.20826482406951	0.0272258178939308	0.117050525152599
Erv3	10.1516586047066	7.22818670161945	3.27367404003802	2.20797385848944	0.0272460955202611	0.117107309884049
Tada2a	1088.150321418	-0.517402145564033	0.2343502892247	-2.20781526353456	0.0272571536176332	0.117115501871783
Gm5820	13.2374559862761	-6.75270807518096	3.05864668032195	-2.20774374452109	0.0272621415766733	0.117115501871783
Ankef1	11.7530733663179	-6.58104457658259	2.98157592507449	-2.20723695856183	0.0272975089807122	0.117237032995981
Gm41279	79.6032254363959	10.196498663342	4.62117405264228	2.20647362492478	0.027350854970542	0.117435695331008
